gene	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28
AT5G04230	8.77013830504024	8.49742730543061	8.28633968725996	9.7168047537186	9.94912920143808	10.0052803430385	8.6957052916001	9.04695018376175	9.45246327165579	8.9947381934931	8.98878959447977	9.41504027940521	9.52651846788666	9.84867677919126	9.67967330547434	8.61420268787629	8.84846544845463	8.80566729907714	9.52724033220009	9.67111763786698	9.80989075508872	9.78915663726029
AT5G04370	7.27322930374464	7.27399527563664	7.20005510736453	7.37520396249175	7.54751925519488	7.46813241433741	7.08459428200306	7.22811474021102	7.40826386006024	7.35859516913436	7.57007372029264	7.46549965882815	7.25392345511798	7.81017153495839	7.39171910485092	7.15403289067484	7.32522124764776	7.16672069755133	7.47612960093275	7.49852646315495	7.41599857662696	7.4388869948975
AT5G04530	9.37578713562533	9.39278083630326	9.27775728706309	10.5172030801704	10.6790105617798	10.7619265137936	9.69019791212638	9.59049194838607	9.84624847853426	10.1906412849685	10.1869493454399	10.170844458125	10.6680356787157	10.6368741378436	10.7237926595186	9.31546493030527	9.38702041392356	9.28485527346058	10.5156661778204	10.5176950465401	10.0361283900509	9.90926225668994
AT5G04950	10.6659478990614	10.6319169815664	9.87307080351246	11.7591938453073	11.9027674352564	12.0392194991059	11.1966723381572	11.032414108752	10.9299548196849	10.7908868961079	10.9589642099083	11.6666678371823	11.9160631776431	11.8940046636013	11.67313352406	9.86662369797287	11.0738244939247	10.4939262275593	11.6789643854792	11.6572723627878	11.6362665056914	11.6042475257502
AT5G04970	7.313116414998	6.85192214707425	6.85192214707425	6.85192214707425	7.77983942176282	7.61898635726558	7.27565720449837	7.17298698826001	7.36744478784242	7.50824545477935	7.63923970632875	7.50717237331457	7.46339072737633	7.5043417113938	7.42689719634314	7.02655809763966	7.25604297187307	7.49305893712543	7.53466431497094	7.5538106630213	7.1622526084203	7.11586676084974
AT5G05090	8.38828515233466	8.44768227993575	8.32194467236523	8.98183956441703	8.74039373097109	8.6020895722894	7.99420999634297	8.0810534322316	8.47888789273006	8.9357113423284	9.12070304464025	9.01718866224363	8.99069975048865	8.99586532344092	9.27795271756207	8.12908522649281	8.095214501551	8.28511472992089	8.84212697790821	9.09137114650442	9.12319919037586	8.9206252720784
AT5G05270	10.1005281111839	9.99225872364022	9.68698196311348	11.7516425907898	12.1534091101637	12.4404206396882	11.8627353104084	10.6254809320598	10.3933319879795	10.299582124747	10.3852382534027	10.8015707525768	11.7114233047555	12.1146984816042	12.221755614327	10.0944302219005	10.267811499061	10.0512957034426	11.730289453156	11.7127882551802	10.914635229132	10.9489409885783
AT5G05280	7.04087157709149	7.04121705255469	6.85192214707425	7.03227435725096	7.20781546971416	7.18049618987945	7.1204920766109	6.85192214707425	6.85192214707425	7.06320069162273	7.12100898592145	7.2382518894208	7.20670738066464	7.03790189681974	7.19836189985493	6.85192214707425	6.85192214707425	7.13359783480581	7.05069987862753	7.24390415660207	7.10546827223353	7.03868912956258
AT5G05282	7.04087157709149	7.04121705255469	6.85192214707425	7.03227435725096	7.20781546971416	7.18049618987945	7.1204920766109	6.85192214707425	6.85192214707425	7.06320069162273	7.12100898592145	7.2382518894208	7.20670738066464	7.03790189681974	7.19836189985493	6.85192214707425	6.85192214707425	7.13359783480581	7.05069987862753	7.24390415660207	7.10546827223353	7.03868912956258
AT5G05880	7.43082804234153	7.5287016681893	6.85192214707425	7.63905521909438	8.00439367484276	7.73644036108069	7.50513777047663	7.52820104198082	7.56726430596603	7.64973324418469	7.76055077289426	7.63467324806141	7.77703144526198	7.80172441489954	7.79651394951085	7.69589644712577	6.85192214707425	7.31774457236738	7.69550474403334	7.82606378004647	7.66380741809462	7.73442709265501
AT5G05890	8.43110453828148	8.02487779126259	8.09530904665664	8.81659006061238	9.22003236278262	9.36057062606518	8.32612441536422	8.30326200595481	8.47514085669147	8.96025355708549	9.01566504278868	8.82103457187114	9.26821475348672	8.63812862226258	8.94161288047415	8.25765096177257	8.43122467410373	8.32006854160112	9.00461625601636	9.0022953697803	9.08394612056941	9.27263386129123
AT5G06000	7.95170001282175	7.88444964221161	8.05093960155498	8.33319928710901	8.21647781965199	8.09759150954273	7.7107097275845	7.55529107730019	7.9575102635197	8.54283221278458	8.5150626467794	8.34718613477549	8.38127212777038	8.01208418602127	8.56194033687161	7.71280571773488	7.73334414571325	8.15302094273778	8.33332800443036	8.35567490022131	7.4431599602933	7.5683875439519
AT5G06200	7.39989360010721	6.98582182999978	6.85192214707425	7.56647470965264	7.36926153520298	7.37544291759496	7.40303602960969	7.24474205043427	7.30710280152396	7.39203201879722	7.41989426706821	7.49702267422912	7.46339072737633	7.51704013120679	7.26785009820965	6.85192214707425	7.30337734648125	7.3768264924952	7.4912998314148	7.4045895683424	7.46906418662915	7.49404057886497
AT5G06250	7.34971960638892	7.44673287363902	7.6715876464042	7.93854439881775	7.9598170290785	7.86088842757924	7.53133716808586	7.59809599835547	7.81860079539434	7.62257991722063	7.61694143344561	7.75693914305956	7.79508960013918	8.16139748539864	7.90790578553295	7.45289368661206	7.42159736936118	7.5078946684603	7.90863517173431	7.80745356744994	7.64472441370194	7.71559397436715
AT5G06380	7.08325451597026	6.85192214707425	6.99433408248369	7.10681315740847	6.85192214707425	7.16177878033695	6.85192214707425	7.04878661217003	6.85192214707425	7.13518023834743	7.15266184094699	7.16044009122399	7.23106793502213	7.03790189681974	7.2170048490578	6.85192214707425	6.85192214707425	6.85192214707425	7.13281484306458	7.19164818742361	6.85192214707425	6.85192214707425
